,commune,spot,full_name,url,date,hour,water_quality,conditions,level,hauteur,note,long,lat
287,larmor-plage,anse-de-kerguelen,larmor-plage anse-de-kerguelen,https://www.surf-sentinel.com/surf-report/france/morbihan/larmor-plage/anse-de-kerguelen,2023-08-14,21,C,moyennes,2,0.9,6,47.70566,-3.40123
393,guidel,pen-er-malo-fort-bloque,guidel pen-er-malo-fort-bloque,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/pen-er-malo-fort-bloque,2023-08-11,15,C,moyennes,2,1.2,6,47.75319,-3.49849
202,gavres,gavres,gavres gavres,https://www.surf-sentinel.com/surf-report/france/morbihan/gavres/gavres,2023-08-14,18,C,moyennes,2,1.0,6,47.6966414,-3.3529371
534,plouhinec,barre-detel,plouhinec barre-detel,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/barre-detel,2023-08-14,6,C,moyennes,2,1.1,6,47.64286,-3.21616
535,plouhinec,barre-detel,plouhinec barre-detel,https://www.surf-sentinel.com/surf-report/france/morbihan/plouhinec/barre-detel,2023-08-14,9,C,moyennes,2,1.0,6,47.64286,-3.21616
371,guidel,la-falaise,guidel la-falaise,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/la-falaise,2023-08-14,21,C,moyennes,2,0.9,6,47.76222,-3.52245
560,bangor,donnant,bangor donnant,https://www.surf-sentinel.com/surf-report/france/morbihan/bangor/donnant,2023-08-11,12,C,moyennes,2,1.2,6,47.3196443,-3.2298395
203,gavres,gavres,gavres gavres,https://www.surf-sentinel.com/surf-report/france/morbihan/gavres/gavres,2023-08-14,21,C,moyennes,2,0.9,6,47.6966414,-3.3529371
324,guidel,plage-du-loch,guidel plage-du-loch,https://www.surf-sentinel.com/surf-report/france/morbihan/guidel/plage-du-loch,2023-08-14,6,C,moyennes,2,1.3,6,48.0295,-4.63722
870,plouharnel,la-guerite-tata-beach,plouharnel la-guerite-tata-beach,https://www.surf-sentinel.com/surf-report/france/morbihan/plouharnel/la-guerite-tata-beach,2023-08-14,6,C,moyennes,2,1.1,6,47.5936091,-3.1452297
75,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-14,15,C,moyennes,2,0.9,6,47.4783483,-3.1266243
74,quiberon,port-maria,quiberon port-maria,https://www.surf-sentinel.com/surf-report/france/morbihan/quiberon/port-maria,2023-08-14,12,C,moyennes,2,1.0,6,47.4783483,-3.1266243
